tau,gamma,ftp
0.015885651294280528,0.001744192162190115,0.05804535719161426
0.01762914118095948,0.0019429128797156332,0.06495149558464065
0.01956398343517065,0.002141728624869939,0.07294614993434653
0.021711179456945052,0.002336372411951886,0.08211948101735245
0.02409403560239527,0.0025266747092234894,0.09265876005179441
0.026738416158399492,0.0027080239638665976,0.10461457683181137
0.029673024081888724,0.002880286788054119,0.11816010951698586
0.032929712550971546,0.0030423719954541673,0.13330997355955365
0.036543830709572546,0.0031931727533700983,0.15010428415166815
0.040554607358408275,0.0033321168743060737,0.16841621945017865
0.04500557675700498,0.003455442779302422,0.1880135735559522
0.0499450511585514,0.0035646672835026394,0.20868544621409063
0.05542664520663107,0.0036557686833861383,0.22989396354259153
0.06150985788580504,0.003731215171156726,0.2513388977695005
0.06826071834272393,0.00378758420194298,0.2721794838288261
0.0757525025877192,0.003826606378990103,0.29193836404699813
0.08406652885618333,0.0038466430753531563,0.3095869009367443
0.09329304026284696,0.0038474150361300853,0.3243524681653852
0.10353218432956637,0.00382955950720645,0.3352654004268826
0.11489510001873086,0.003791564602330205,0.3413597548198428
0.1275051240713013,0.00373782218738613,0.3422476500772351
0.1414991297434576,0.003667259958055058,0.337327348636386
0.15702901247293774,0.0035854533297269126,0.3272934280121368
0.17426333860096507,0.0034916255300868108,0.3124907763439142
0.19338917504552322,0.003389755287936667,0.2940861099434434
0.21461411978584058,0.003280135190127081,0.27301016696452757
0.23816855519761607,0.0031666150531160435,0.25021767586237875
0.2643081486974108,0.003054152633108066,0.2267125964453809
0.29331662783900486,0.0029467892891520938,0.20310034088270434
0.32550885998350565,0.0028516167431966977,0.18027252266104654
0.36123426997094304,0.002771771623574321,0.15858240480935454
0.40088063288984643,0.002713535193396824,0.13857362597492676
0.4448782831127585,0.00267860004872448,0.12039705818117104
0.4937047852839004,0.002671129520897522,0.10424151803151992
0.5478901179593945,0.002691653755981386,0.09011940557289469
0.6080224261649427,0.002743439212320343,0.07793570534874858
0.67475440531107,0.0028274641372859075,0.06756343131297081
0.748810385759003,0.0029466478806620404,0.05876105414649245
0.8309941949353403,0.0031024129182627975,0.05134310095401997
0.9221978823334341,0.003296430519839039,0.04506937443180951
1.0234114021054528,0.003529598176317834,0.03980533818796855
1.135733358343105,0.0038009110905143882,0.03537864184674615
1.2603829296797273,0.004110545854359633,0.03168819483944937
1.3987131026472386,0.004453555692783828,0.0286085887392918
1.552225357427048,0.004828882244965699,0.02605502097937776
1.7225859653987874,0.0052268967953182695,0.023937632491235164
1.9116440753857036,0.005644292985936683,0.02219078350240079
2.121451784910632,0.006067915701622654,0.020760413024163954
2.35428641432242,0.00649051829789874,0.01959689848741914
2.612675225563332,0.006898438362726359,0.01866827304901257
2.8994228538828812,0.0072789526495252955,0.017928493578953385
3.2176417502507353,0.007621487916656968,0.017348164792184095
3.5707859649004625,0.00790854164261799,0.01687632754266038
3.9626886387014784,0.008135072231550201,0.016485258661188155
4.397603609302721,0.008282601170316045,0.016126619893792386
4.880251583654434,0.008349847197935852,0.015783658257336
5.415871378079476,0.008322556092879489,0.015423416520232752
6.010276782070388,0.008200369560065285,0.015029198485761473
6.669919663030129,0.007978897237628674,0.014576143004631668
7.401959996915652,0.007656756285046717,0.014041821976635616
8.214343584919439,0.007240281990428331,0.013412923907282721
9.115888299750837,0.006725816158633946,0.012657661569147024
10.11637979766207,0.006124750400149153,0.01176363411748819
11.226677735108158,0.005438134328499542,0.010701001706007034
12.458833642950081,0.004685713288794193,0.009474268060500416
13.826221737646593,0.003864921671365953,0.008037327106705119
