freq,Zreal,Zimag,Zlo,Zhi
(0.7943282347242805+0j),(1.9985672282970735+0j),(-0.05008307720181221+0j),(0.4565724131810025+0.03719487696509781j),(3.6039216850028923-0.13966955048638097j)
(0.6309573444801929+0j),(1.9993493970052174+0j),(-0.03956683209166961+0j),(0.4540981946875711+0.031749001100475356j),(3.607881047873456-0.11262098449300485j)
(0.5011872336272715+0j),(1.999772069031886+0j),(-0.03120407194311492+0j),(0.4519539483745897+0.027327696887301522j),(3.610792632078426-0.09103983949988499j)
(0.3981071705534969+0j),(1.9999702951589347+0j),(-0.024561397225492894+0j),(0.45003882210307306+0.023745296519706468j),(3.6130340182177987-0.07384223951211302j)
(0.31622776601683794+0j),(2.000029124658545+0j),(-0.01928973581791064+0j),(0.44828322512512003+0.020845017499264182j),(3.6148478407997637-0.06014769480359958j)
(0.2511886431509577+0j),(2.000002073106111+0j),(-0.015109653308119387+0j),(0.44663900962288605+0.018496069018224696j),(3.616389458687375-0.04924588422262578j)
(0.1995262314968879+0j),(1.999922895872995+0j),(-0.011798289629225562+0j),(0.44507256384408334+0.016589860442639024j),(3.6177579941622864-0.04056641082857701j)
(0.1584893192461111+0j),(1.999813029380589+0j),(-0.009178272505719908+0j),(0.4435604224554271+0.015035990634082272j),(3.6190165669960166-0.033652584361430246j)
(0.12589254117941662+0j),(1.9996862459137312+0j),(-0.007108566144376895+0j),(0.4420867876930485+0.01375883092299874j),(3.620205441838288-0.02813922773973552j)
(0.1+0j),(1.9995515407588786+0j),(-0.005477059792400143+0j),(0.44064199823015054+0.012695056244002561j),(3.6213504257928557-0.02373413850446865j)
(0.07943282347242805+0j),(1.99941493083694+0j),(-0.0041946342861324745+0j),(0.4392212037825909+0.01179179035579471j),(3.6224679914554123-0.020202784629560117j)
(0.0630957344480193+0j),(1.9992805955795756+0j),(-0.0031904188298696227+0j),(0.4378231479833668+0.011004834543236666j),(3.623568089198576-0.017355877673653437j)
(0.05011872336272714+0j),(1.9991515967331726+0j),(-0.002407976171132658+0j),(0.43644939155884094+0.010296790380226909j),(3.624655324489092-0.015039550981087052j)
(0.039810717055349686+0j),(1.9990302961380335+0j),(-0.001802230797149948+0j),(0.435104299752853+0.009635317704024867j),(3.625729056146027-0.013127975170800247j)
(0.031622776601683784+0j),(1.998918553568314+0j),(-0.0013370211279247611+0j),(0.4337958291745581+0.008992062925823635j),(3.626782960510196-0.011518247919413766j)
(0.02511886431509577+0j),(1.9988177843133392+0j),(-0.000983187286217796+0j),(0.4325366979919234+0.008342799559359446j),(3.6278046173302463-0.01012735198577707j)
(0.019952623149688792+0j),(1.9987289485406934+0j),(-0.0007171074199467791+0j),(0.43134511300910006+0.0076689906360430165j),(3.6287757177369775-0.008890887975918648j)
(0.01584893192461111+0j),(1.9986525328712261+0j),(-0.0005195949401017373+0j),(0.4302441350116582+0.006960407955983515j),(3.629673568475191-0.007763025824566493j)
(0.01258925411794166+0j),(1.99858856247599+0j),(-0.0003750589204092182+0j),(0.42925898591382344+0.006217878227801006j),(3.6304744261142448-0.006716631917368491j)
(0.01+0j),(1.9985366330592123+0j),(-0.00027083647185360734+0j),(0.42841214082560247+0.00545464632088825j),(3.6311584947502658-0.005742015365066781j)
