freq,Zreal,Zimag,Zlo,Zhi
(1+0j),(2.958274841565974+0j),(-0.11198261000559485+0j),(2.2877216874978594-0.06441198031778367j),(3.7456905429452823-0.1633981683276829j)
(0.7943282347242805+0j),(2.967042865533168+0j),(-0.09423417981153735+0j),(2.291597018466877-0.052728615685109254j),(3.7593980336068373-0.13885926178582353j)
(0.6309573444801929+0j),(2.97406248957125+0j),(-0.0792693569156612+0j),(2.2945312637865847-0.04301267825362716j),(3.7705503980448665-0.1181048684441581j)
(0.5011872336272715+0j),(2.979759275567699+0j),(-0.06669739907158119+0j),(2.2967698671096675-0.03492840009437585j),(3.7797710306828036-0.10064099426196416j)
(0.3981071705534969+0j),(2.9844455325492785+0j),(-0.056149103790362885+0j),(2.2984792397218117-0.028180250851758938j),(3.7875258646438086-0.0859827892417692j)
(0.31622776601683794+0j),(2.988346414046034+0j),(-0.047292530927077754+0j),(2.2997686082126734-0.022517234743597618j),(3.7941552220883565-0.07368154479773116j)
(0.2511886431509577+0j),(2.991622137505697+0j),(-0.039839594355629476+0j),(2.3007070572150683-0.01773281857200098j),(3.7999024298327893-0.06333901815217631j)
(0.1995262314968879+0j),(2.994386019686508+0j),(-0.03354696640754344+0j),(2.3013370494842174-0.013662279379533609j),(3.804938586490191-0.054613337716882086j)
(0.1584893192461111+0j),(2.9967186370211656+0j),(-0.02821356186163363+0j),(2.3016850303693674-0.010178240998419177j),(3.8093834582801933-0.0472189485074552j)
(0.12589254117941662+0j),(2.9986785959086646+0j),(-0.023676137554501524+0j),(2.3017692660350906-0.007185171702136517j),(3.813322353509453-0.04092233740053305j)
(0.1+0j),(3.0003104872616584+0j),(-0.019804069101060067+0j),(2.301605285301262-0.004613804028816781j),(3.816818911588942-0.035535158698699866j)
(0.07943282347242805+0j),(3.001650622650587+0j),(-0.01649398109415475+0j),(2.3012097028134813-0.002416010973847958j),(3.8199240286688516-0.030906181474965683j)
(0.0630957344480193+0j),(3.002731066893939+0j),(-0.013664505781506905+0j),(2.30060305067437-0.0005597530016247657j),(3.822681346063131-0.02691301707678566j)
(0.05011872336272714+0j),(3.003582305471579+0j),(-0.011251394378994362+0j),(2.2998116038481786+0.0009754896021761453j),(3.8251299105650007-0.023455257297347293j)
(0.039810717055349686+0j),(3.0042347096350968+0j),(-0.00920291619368921+0j),(2.298867924124441+0.0022035836593808852j),(3.8273048131473297-0.02044796947123757j)
(0.031622776601683784+0j),(3.0047189168794257+0j),(-0.007475913260147931+0j),(2.2978103875786022+0.0031355184402441626j),(3.8292366017268846-0.017817965900507188j)
(0.02511886431509577+0j),(3.0050653402207836+0j),(-0.006032638232643519+0j),(2.296682473754515+0.0037823034891310316j),(3.8309500238783407-0.01550121368586763j)
(0.019952623149688792+0j),(3.005303134671781+0j),(-0.004838530180316047+0j),(2.2955321221526135+0.004158106606086836j),(3.832462552825061-0.013441809394626462j)
(0.01584893192461111+0j),(3.0054589892977597+0j),(-0.0038610052294227887+0j),(2.2944103405625333+0.004283780418851933j),(3.833783513432038-0.011593415596826875j)
(0.01258925411794166+0j),(3.0055560692834016+0j),(-0.003069029433143612+0j),(2.2933676626539485+0.004190750354057862j),(3.8349151790545424-0.009921772901156364j)
(0.01+0j),(3.0056133238989506+0j),(-0.0024333077650804235+0j),(2.2924478228658316+0.003923010635869j),(3.835856920573768-0.00840706771836107j)
