EXPLAIN
TAG	EISPOT
PDAC_COM3_02210
1e6 to 0.1 Hz; 15pts/dec; 30 mV; 1000 Ohm guess; 20s dwell; 1e9 max; 4min T dwell

Contact Size, 0.000000_mm^2
DC offset,0.000000_Volts
Amplitude,0.030000_Volts

Contact X position (mm), -7.000000
Contact Y position (mm), 34.500000
 Substrate Temp (C),2071.976333







ZCURVE	TABLE
	Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
	#	s	Hz	ohm	ohm	V	ohm	°	A	V	#
	1.000000E+0	0.000000E+0	4.630335E+3	8.341692E+3	-8.584624E+3	1.000000E+0	1.196995E+4	-4.582227E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	3.993056E+3	8.644516E+3	-9.619602E+3	1.000000E+0	1.293307E+4	-4.805601E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	3.414352E+3	8.989089E+3	-1.087332E+4	1.000000E+0	1.410790E+4	-5.041910E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	2.915396E+3	9.387155E+3	-1.233867E+4	1.000000E+0	1.550360E+4	-5.273644E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	2.519531E+3	9.818050E+3	-1.388687E+4	1.000000E+0	1.700704E+4	-5.473960E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	2.141204E+3	1.036341E+4	-1.587063E+4	1.000000E+0	1.895461E+4	-5.685573E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.841518E+3	1.094030E+4	-1.797392E+4	1.000000E+0	2.104167E+4	-5.867211E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.580669E+3	1.162434E+4	-2.039650E+4	1.000000E+0	2.347643E+4	-6.032040E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.362645E+3	1.238492E+4	-2.308626E+4	1.000000E+0	2.619851E+4	-6.178809E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.171875E+3	1.327932E+4	-2.617102E+4	1.000000E+0	2.934728E+4	-6.309651E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.000702E+3	1.440217E+4	-2.986330E+4	1.000000E+0	3.315478E+4	-6.425339E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	8.574695E+2	1.568631E+4	-3.396505E+4	1.000000E+0	3.741236E+4	-6.521077E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	7.341868E+2	1.721390E+4	-3.863524E+4	1.000000E+0	4.229657E+4	-6.598468E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	6.288110E+2	1.900494E+4	-4.389595E+4	1.000000E+0	4.783348E+4	-6.658959E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	5.427632E+2	2.100942E+4	-4.954375E+4	1.000000E+0	5.381430E+4	-6.702024E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	4.635989E+2	2.326417E+4	-5.636890E+4	1.000000E+0	6.098093E+4	-6.757343E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	4.001524E+2	2.603599E+4	-6.346577E+4	1.000000E+0	6.859866E+4	-6.769476E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	3.417969E+2	2.950617E+4	-7.196248E+4	1.000000E+0	7.777669E+4	-6.770531E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	2.929687E+2	3.354977E+4	-8.124259E+4	1.000000E+0	8.789735E+4	-6.756143E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	2.520161E+2	3.807441E+4	-9.138802E+4	1.000000E+0	9.900217E+4	-6.738223E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	2.150229E+2	4.363714E+4	-1.031315E+5	1.000000E+0	1.119835E+5	-6.706575E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	1.845472E+2	4.985574E+4	-1.157188E+5	1.000000E+0	1.260017E+5	-6.669192E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	1.580056E+2	5.726917E+4	-1.298229E+5	1.000000E+0	1.418934E+5	-6.619614E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	1.365291E+2	6.481154E+4	-1.442238E+5	1.000000E+0	1.581172E+5	-6.580173E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	1.162190E+2	7.508437E+4	-1.620043E+5	1.000000E+0	1.785582E+5	-6.513362E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	9.973404E+1	8.571887E+4	-1.805147E+5	1.000000E+0	1.998331E+5	-6.459892E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	8.600917E+1	9.703609E+4	-1.991952E+5	1.000000E+0	2.215733E+5	-6.402740E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	7.381890E+1	1.144552E+5	-2.187645E+5	1.000000E+0	2.468965E+5	-6.238192E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	6.291946E+1	1.231772E+5	-2.437447E+5	1.000000E+0	2.731009E+5	-6.319009E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	5.387931E+1	1.436164E+5	-2.676406E+5	1.000000E+0	3.037387E+5	-6.178191E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	4.641089E+1	1.658610E+5	-2.999306E+5	1.000000E+0	3.427364E+5	-6.105749E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	3.972458E+1	1.841717E+5	-3.314749E+5	1.000000E+0	3.792028E+5	-6.094289E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	3.421533E+1	2.086898E+5	-3.649867E+5	1.000000E+0	4.204363E+5	-6.024021E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	2.929688E+1	2.335741E+5	-4.026984E+5	1.000000E+0	4.655351E+5	-5.988530E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	2.520161E+1	2.626184E+5	-4.405475E+5	1.000000E+0	5.128845E+5	-5.920006E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	2.150229E+1	2.999169E+5	-4.882312E+5	1.000000E+0	5.729921E+5	-5.843789E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.838235E+1	3.391040E+5	-5.370581E+5	1.000000E+0	6.351558E+5	-5.773127E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.578283E+1	3.804976E+5	-5.881771E+5	1.000000E+0	7.005218E+5	-5.710077E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.362645E+1	4.278226E+5	-6.417841E+5	1.000000E+0	7.713099E+5	-5.631200E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.171875E+1	4.778444E+5	-6.979629E+5	1.000000E+0	8.458649E+5	-5.560340E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	9.973404E+0	5.406398E+5	-7.653579E+5	1.000000E+0	9.370508E+5	-5.476307E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	8.585165E+0	6.037162E+5	-8.317427E+5	1.000000E+0	1.027750E+6	-5.402617E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	7.358713E+0	6.786324E+5	-9.041975E+5	1.000000E+0	1.130538E+6	-5.311047E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	6.275100E+0	7.643192E+5	-9.829656E+5	1.000000E+0	1.245153E+6	-5.213263E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	5.387931E+0	8.538478E+5	-1.060711E+6	1.000000E+0	1.361677E+6	-5.116674E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	4.650298E+0	9.501671E+5	-1.138454E+6	1.000000E+0	1.482867E+6	-5.015123E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.985969E+0	1.059137E+6	-1.222410E+6	1.000000E+0	1.617423E+6	-4.909323E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.404140E+0	1.182654E+6	-1.311408E+6	1.000000E+0	1.765917E+6	-4.795523E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.929687E+0	1.309516E+6	-1.394688E+6	1.000000E+0	1.913109E+6	-4.680400E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.516103E+0	1.455911E+6	-1.482741E+6	1.000000E+0	2.078028E+6	-4.552310E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.143347E+0	1.618645E+6	-1.571531E+6	1.000000E+0	2.256041E+6	-4.415390E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.844020E+0	1.782828E+6	-1.651971E+6	1.000000E+0	2.430532E+6	-4.281823E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.587906E+0	1.958884E+6	-1.735139E+6	1.000000E+0	2.616856E+6	-4.153385E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.362645E+0	2.149555E+6	-1.811102E+6	1.000000E+0	2.810814E+6	-4.011573E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.171875E+0	2.350327E+6	-1.879686E+6	1.000000E+0	3.009528E+6	-3.865125E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	9.977650E-1	2.571572E+6	-1.943193E+6	1.000000E+0	3.223194E+6	-3.707631E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	8.616728E-1	2.790168E+6	-2.000576E+6	1.000000E+0	3.433270E+6	-3.564087E+1	0.000000E+0	0.000000E+0	5.000000E+0	
