EXPLAIN
TAG	EISPOT
PDAC_COM3_02109


Contact Size, 0.000000_mm^2
DC offset,0.000000_Volts
Amplitude,0.030000_Volts

Contact X position (mm), -10.500000
Contact Y position (mm), 0.000000
 Substrate Temp (C),2064.618820







ZCURVE	TABLE
	Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
	#	s	Hz	ohm	ohm	V	ohm	°	A	V	#
	1.000000E+0	0.000000E+0	2.150229E+1	4.142766E+6	-8.459489E+5	1.000000E+0	4.228256E+6	-1.154108E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.838235E+1	4.226479E+6	-8.282799E+5	1.000000E+0	4.306875E+6	-1.108796E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.578283E+1	4.272909E+6	-8.095048E+5	1.000000E+0	4.348914E+6	-1.072758E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.362645E+1	4.339657E+6	-7.790659E+5	1.000000E+0	4.409032E+6	-1.017747E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	1.171875E+1	4.410996E+6	-8.054157E+5	1.000000E+0	4.483924E+6	-1.034780E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	9.973404E+0	4.471187E+6	-8.025614E+5	1.000000E+0	4.542644E+6	-1.017602E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	8.585165E+0	4.534348E+6	-8.201416E+5	1.000000E+0	4.607922E+6	-1.025242E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	7.358713E+0	4.589717E+6	-8.214774E+5	1.000000E+0	4.662652E+6	-1.014748E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	6.275100E+0	4.654616E+6	-8.468795E+5	1.000000E+0	4.731030E+6	-1.031183E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	5.387931E+0	4.726296E+6	-8.715422E+5	1.000000E+0	4.805981E+6	-1.044813E+1	0.000000E+0	0.000000E+0	6.000000E+0	
	1.000000E+0	0.000000E+0	4.650298E+0	4.790434E+6	-8.970235E+5	1.000000E+0	4.873695E+6	-1.060599E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.985969E+0	4.867810E+6	-9.636697E+5	1.000000E+0	4.962281E+6	-1.119793E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	3.404140E+0	4.914706E+6	-1.005077E+6	1.000000E+0	5.016424E+6	-1.155786E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.929687E+0	4.973158E+6	-1.047665E+6	1.000000E+0	5.082313E+6	-1.189620E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.516103E+0	5.069525E+6	-1.098131E+6	1.000000E+0	5.187097E+6	-1.222225E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.143347E+0	5.142271E+6	-1.162015E+6	1.000000E+0	5.271928E+6	-1.273344E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.844020E+0	5.222560E+6	-1.229336E+6	1.000000E+0	5.365296E+6	-1.324570E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.587906E+0	5.305088E+6	-1.301297E+6	1.000000E+0	5.462356E+6	-1.378209E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.362645E+0	5.437591E+6	-1.393570E+6	1.000000E+0	5.613326E+6	-1.437463E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.171875E+0	5.565862E+6	-1.488588E+6	1.000000E+0	5.761485E+6	-1.497329E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	9.977650E-1	5.696758E+6	-1.594840E+6	1.000000E+0	5.915790E+6	-1.563989E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	8.616728E-1	5.835304E+6	-1.705127E+6	1.000000E+0	6.079328E+6	-1.628883E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	7.325363E-1	5.960850E+6	-1.833446E+6	1.000000E+0	6.236446E+6	-1.709692E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	6.290258E-1	6.114122E+6	-1.962148E+6	1.000000E+0	6.421255E+6	-1.779251E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	5.425347E-1	6.253672E+6	-2.098027E+6	1.000000E+0	6.596221E+6	-1.854594E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	4.650298E-1	6.461706E+6	-2.268013E+6	1.000000E+0	6.848177E+6	-1.934071E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	3.985969E-1	6.668592E+6	-2.444131E+6	1.000000E+0	7.102386E+6	-2.012858E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	3.426535E-1	6.889912E+6	-2.632216E+6	1.000000E+0	7.375598E+6	-2.090881E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.929687E-1	7.118026E+6	-2.821983E+6	1.000000E+0	7.657015E+6	-2.162614E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.514753E-1	7.372012E+6	-3.030698E+6	1.000000E+0	7.970677E+6	-2.234799E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.162131E-1	7.708592E+6	-3.268270E+6	1.000000E+0	8.372812E+6	-2.297585E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.848383E-1	8.050588E+6	-3.501114E+6	1.000000E+0	8.778939E+6	-2.350370E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.587906E-1	8.332612E+6	-3.687455E+6	1.000000E+0	9.112066E+6	-2.387097E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.359484E-1	8.638094E+6	-3.859126E+6	1.000000E+0	9.460947E+6	-2.407302E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.167206E-1	8.988081E+6	-4.018488E+6	1.000000E+0	9.845499E+6	-2.408897E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.001603E-1	9.515918E+6	-4.264486E+6	1.000000E+0	1.042778E+7	-2.413918E+1	0.000000E+0	0.000000E+0	4.000000E+0	
