tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
0.0002046617999391992,143145.2485450734,-145058.94415497722,435358.6596379997,1.1821280405979925e-09,4.148742313720776e-11,3.1032141155154298e-09
0.00022275429519995587,228739.06943902033,-151140.56760813104,610409.7636407486,1.1847003607470953e-09,3.282819001399839e-11,3.220499129911956e-09
0.00024244620170823307,376875.352416885,-113189.91728832452,854411.1512412793,1.194110729948858e-09,3.878469997653595e-11,3.342744322366799e-09
0.00026387891048289345,608353.8348347672,-10501.906067620614,1178095.9255535575,1.2134320825647918e-09,5.788705090669174e-11,3.4450277750927056e-09
0.0002872063117797831,918231.2270307034,149412.7256355418,1575356.851580507,1.2404765025152341e-09,8.450029406223469e-11,3.518100433582196e-09
0.0003125959000482281,1273042.0265871699,333804.85702221806,2020853.514731313,1.2674696798431e-09,1.0909164339107349e-10,3.564556475516808e-09
0.00034022997656780714,1638707.27104218,523122.5586468697,2496687.925965242,1.2854520155872312e-09,1.233367800718701e-10,3.583775528630955e-09
0.0003703069584005145,1995404.2269020686,736051.9620756444,3007584.349577456,1.29116893536276e-09,1.24190252251443e-10,3.5743311778342177e-09
0.00040304280305680546,2325149.8511279398,1004252.8554677912,3553406.8287607064,1.2841849434131427e-09,1.1269904027171835e-10,3.5304775620315836e-09
0.00043867255910485034,2607034.4626730024,1314925.4188973096,4090181.5851112525,1.265975071636285e-09,9.358525317188453e-11,3.450813952677037e-09
0.00047745205385661313,2812785.9681479093,1578265.2165509448,4504494.238825581,1.2428379587465393e-09,7.62903593530334e-11,3.3521147542607174e-09
0.0005196597302486203,2909116.0141774514,1685747.1145127935,4664858.7415471235,1.2211436203934236e-09,7.043237422732449e-11,3.255253769810039e-09
0.0005655986461065008,2890001.5162523068,1621119.42691977,4549977.696195767,1.205659910652696e-09,7.815844605142471e-11,3.1786764863623685e-09
0.0006155986501483515,2781825.951006293,1475649.3423513044,4267965.753803115,1.1999357397102518e-09,9.313052924600325e-11,3.1393541144185906e-09
0.0006700187503509591,2611416.461259969,1344891.0307194572,3934807.8071348704,1.2028978018644078e-09,1.0706797017452667e-10,3.1399834436499255e-09
0.0007292496916841451,2397381.599696989,1245885.8880991468,3596611.098773649,1.2085916091493215e-09,1.1518718724357594e-10,3.162933348993709e-09
0.0007937167617217558,2152179.1969906976,1131382.551856873,3241648.189792916,1.2077339808085522e-09,1.1624910525170363e-10,3.175692509696996e-09
0.0008638828442740454,1884846.345611764,962585.8339836731,2851476.150727002,1.19619626235472e-09,1.1233378243960117e-10,3.158985866892486e-09
0.0009402517429670142,1615318.0731092638,759189.9804062683,2447707.048701174,1.1839191696298284e-09,1.0966806460414324e-10,3.132964330714459e-09
0.0010233717986325214,1368485.7729693179,574043.2603170106,2075707.4777086412,1.1850431589166115e-09,1.150333534374975e-10,3.1328428813565685e-09
0.0011138398264826206,1157087.9440734198,438605.3125002106,1763606.3100418511,1.2021964683316493e-09,1.2862949940008276e-10,3.172552227661854e-09
0.0012123054013376529,982453.6651160249,348655.9955614472,1517407.0174288591,1.2225233000083004e-09,1.4170425929694607e-10,3.235516873100361e-09
0.0013194755216767086,840045.9586093613,284718.5144130951,1329477.6313646748,1.2283887913968327e-09,1.4369887122197674e-10,3.2898442229015375e-09
0.0014361196859990803,723900.4310171516,231098.02268609375,1184179.0538652565,1.2155599884378932e-09,1.3188812120540628e-10,3.317281177718344e-09
0.0015630754179458174,630007.5252171782,180874.7902576208,1063762.5826732519,1.1939989651753406e-09,1.1200688556827468e-10,3.3154613611744558e-09
0.0017012542798525892,555153.6143213812,134539.8842816635,954797.4783253482,1.1747736390844403e-09,9.202171300570342e-11,3.2885094070752704e-09
0.0018516484179121578,497037.52760868124,100368.41727778531,855888.9350364817,1.1655094123002903e-09,7.910990577952568e-11,3.255307265387604e-09
0.002015337685941735,454047.5051992702,90233.42289562532,773575.5429013884,1.1697337947010333e-09,7.901990203047321e-11,3.2406539158686854e-09
0.00219349739890506,423156.2449833116,106920.37554649262,710134.3254242522,1.1876124562840483e-09,9.294396166461104e-11,3.259857065119486e-09
0.002387406771860647,399539.89777831064,137001.3405881632,659886.0824564163,1.2177506504869797e-09,1.1550021629367919e-10,3.3170220741498784e-09
0.0025984581049292525,377800.84419424995,160861.75843240108,613928.4816131928,1.2558193234770963e-09,1.3877129938013722e-10,3.401906744624133e-09
0.002828166780230035,354970.2107536351,168338.2037979898,568645.5074474042,1.2959031289941977e-09,1.5820744571385742e-10,3.492952964387004e-09
0.00307818214256508,331364.96806574,161308.9251348398,528175.5346461245,1.3303923751562796e-09,1.72923348767568e-10,3.5590478360550002e-09
0.0033502993419772366,307754.49497518776,145505.48905386872,496751.69362499873,1.3509378017454506e-09,1.8198448109841733e-10,3.5725414346289855e-09
0.0036464722232127525,284236.4122485108,125377.68970362667,472768.96618438495,1.355451503583035e-09,1.8197250114673177e-10,3.540502492953751e-09
0.003968827354637166,260376.61168187982,103643.38596043133,449759.89207171527,1.3461576628852696e-09,1.6760435037219352e-10,3.4955524201838686e-09
0.004319679297334174,235637.7463908113,81801.56611949,422348.05005868495,1.3254807059741288e-09,1.375767593622887e-10,3.4600540202438127e-09
