freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(100+0j),(1.02145135980651+0j),(-0.15494462171397844+0j),(0.9078067394559072+0.08777835147989163j),(1.132822030954247-0.403824204705911j),0.0024563007944382155,0.0012202568801426281
(79.43282347242804+0j),(1.0355838725570081+0j),(-0.1925245603771761+0j),(0.8960348661361439+0.10302575199846468j),(1.172757536653881-0.49674701480909794j),0.0025534497242294695,0.0012078183876839666
(63.09573444801929+0j),(1.0572659410948142+0j),(-0.23702940690583768+0j),(0.8805724965414303+0.11961524472894788j),(1.2319354835363603-0.6055979677129371j),0.002621748836835389,0.0011989349693742007
(50.11872336272725+0j),(1.0896545230445782+0j),(-0.2879232299686539+0j),(0.8606795636747973+0.13669773009800007j),(1.317737189514855-0.7284818587714881j),0.0027246399817073257,0.001193701178603457
(39.81071705534969+0j),(1.1363390630343604+0j),(-0.3431157178771205+0j),(0.8359491316085835+0.15298014051183184j),(1.4381597678361584-0.8597935072080178j),0.0027979568133271425,0.0011971035184293512
(31.622776601683796+0j),(1.2005122892933031+0j),(-0.3983305058724896+0j),(0.8065955348407161+0.1669120284912613j),(1.599787915379875-0.9890471573934438j),0.0029024780734097245,0.0012697345751607762
(25.118864315095767+0j),(1.2835106061397212+0j),(-0.4469990085114083+0j),(0.7735686002664612+0.17709043067635152j),(1.8045830091734953-1.1010242046022976j),0.003020414039011834,0.001226486084878799
(19.95262314968879+0j),(1.38315386638+0j),(-0.481313088291995+0j),(0.7383191306977731+0.18266791443502775j),(2.0465647146060224-1.1783967315338608j),0.003415826780527823,0.001233090572057227
(15.848931924611108+0j),(1.4929651235692105+0j),(-0.4945945171260093+0j),(0.7023407650254573+0.18343303609589934j),(2.3105871522558026-1.2068618253251742j),0.0071088594024443005,0.001218718780202216
(12.589254117941664+0j),(1.6033389293950373+0j),(-0.4840078867988552+0j),(0.6669014538689042+0.1795294954690905j),(2.5751183472485435-1.1806531600917776j),0.004413390484386471,0.001191984302179761
(10+0j),(1.7044955775718678+0j),(-0.4518677627781104+0j),(0.6331577206237269+0.1712180840092643j),(2.818458207954098-1.1050409183671817j),0.007934321757712139,0.001147091695010474
(7.943282347242805+0j),(1.7895407728364177+0j),(-0.4045592491559332+0j),(0.6023185892446496+0.1589876356256349j),(3.025056997777524-0.9940519678796209j),0.003832819288038745,0.0011213365217023338
(6.30957344480193+0j),(1.855853423392234+0j),(-0.3498880755071156+0j),(0.5754907914658762+0.14377977588744056j),(3.1885068082822663-0.8650226657401228j),0.00374292334205826,0.001136192195776822
(5.011872336272715+0j),(1.9044670222139883+0j),(-0.2946118596791205+0j),(0.5533258897347334+0.12693705188512855j),(3.310478917419436-0.7333707434359362j),0.003798899213422091,0.0010266689133689745
(3.981071705534969+0j),(1.9384427953970929+0j),(-0.24324651529391286+0j),(0.5358356153125061+0.10986556169956646j),(3.3974429801712986-0.6098313765114778j),0.003978102570897253,0.0010266211733775572
(3.1622776601683795+0j),(1.961360798427469+0j),(-0.1980821829605429+0j),(0.5225046095979766+0.093693459302179j),(3.457407889602332-0.5002149479123462j),0.005263582052774191,0.000981286213819437
(2.5118864315095766+0j),(1.9764272276094785+0j),(-0.15978795845219834+0j),(0.5125544769821057+0.07912089567396147j),(3.4978263887068537-0.4065477661857083j),0.007616163398156318,0.0009727921063558536
(1.9952623149688788+0j),(1.9861475758240665+0j),(-0.12808132146486775+0j),(0.5051796909077305+0.06645285926188926j),(3.524703270381944-0.32850252448631795j),0.003890234254037191,0.0009668158505015295
