tau,gamma,ftp
0.001059560179277617,0.020694680174155277,0.007398061471850872
0.0011758495540521582,0.024638255799189608,0.008036728423031712
0.0013049019780144017,0.02913151840020069,0.008733909011467478
0.001448118227674533,0.03433623482337095,0.009489743166711726
0.0016070528182616384,0.04041142692457979,0.010331331522730606
0.0017834308769319094,0.047529858929700755,0.0112773875782561
0.0019791668678535573,0.055906874519104886,0.012339292462604734
0.002196385372416547,0.06582104896159227,0.013512789317654697
0.002437444150122222,0.07780527646352758,0.014828722808803447
0.002704959730463137,0.09240835813997225,0.016309256808599144
0.0030018358135755923,0.11020331073387118,0.017999734822310483
0.003331294787934677,0.1314925511624718,0.019927679121354396
0.0036969127071950323,0.15656538215737562,0.02214238753164294
0.00410265810582719,0.18527823177384753,0.02468623515100562
0.004552935074866948,0.2174518087665794,0.027608756292047953
0.00505263106533568,0.25249777858432326,0.030965585539226532
0.005607169938205458,0.28930476962175466,0.03480787182976542
0.006222570836730231,0.32648452540119854,0.03923577758375183
0.006905513520162331,0.3624050141949193,0.04432086034979751
0.007663410868007463,0.39693768403110663,0.05019888015537435
0.008504489341802686,0.4268546609134207,0.05694218058313896
0.009437878277775391,0.4418270894031646,0.06469101064679106
0.010473708979594508,0.426985098896181,0.0734948624974526
0.011623224686798541,0.38057898664197853,0.08345007714925576
0.01289890261253308,0.31737950651144314,0.09455971649097442
0.014314589375234785,0.24898490433152143,0.10679421848525787
0.015885651294280528,0.17939848893246282,0.12007509409308131
0.01762914118095948,0.11213960604405479,0.1341672093089316
0.01956398343517065,0.05817209506995692,0.1489269143675825
0.021711179456945052,0.028020955745838547,0.16390293882508786
0.02409403560239527,0.017535419847837578,0.17884010990084795
0.026738416158399492,0.014575373700414134,0.19309326116750333
0.029673024081888724,0.01224156534750334,0.20621059456936308
0.032929712550971546,0.009845128001503776,0.21748680049878563
0.036543830709572546,0.00800247453874492,0.2262938722283421
0.040554607358408275,0.006672223488060346,0.23218925871945997
0.04500557675700498,0.005579538645310596,0.23461164010488972
0.0499450511585514,0.004642614297426235,0.233689314569509
0.05542664520663107,0.0038751090691298215,0.2292869873827677
0.06150985788580504,0.003267982349403972,0.22200118469216581
0.06826071834272393,0.002791268028923856,0.21223180192548766
0.0757525025877192,0.0024191363578314525,0.20067110769843038
0.08406652885618333,0.0021377909417672177,0.18799612410398744
0.09329304026284696,0.0019334179314234158,0.17469076854440624
0.10353218432956637,0.0017932913294534307,0.16135386091668943
0.11489510001873086,0.0017028426321065032,0.1482313134302164
