,tau,gamma,ftp
110,0.009437878277775391,0.04092106656972545,0.03638796725029913
111,0.010473708979594508,0.03681384998467153,0.04043909473701358
112,0.011623224686798541,0.033179839235183584,0.04503031224225681
113,0.01289890261253308,0.029955157187977678,0.05025060997401662
114,0.014314589375234785,0.0270859063842257,0.056206607341133724
115,0.015885651294280528,0.024526425257743917,0.06302643236608589
116,0.01762914118095948,0.02223787204269568,0.0708644102668147
117,0.01956398343517065,0.020187072788640306,0.07990662781263484
118,0.021711179456945052,0.018345581937226685,0.09037733284658857
119,0.02409403560239527,0.016688913999780054,0.10254588927246988
120,0.026738416158399492,0.015195913130918476,0.1167335214291485
121,0.029673024081888724,0.013848234057492742,0.1333181478347697
122,0.032929712550971546,0.012629913156060013,0.15273389357270875
123,0.036543830709572546,0.01152701272060572,0.17545889158696573
124,0.040554607358408275,0.010527324837968076,0.20198014069911663
125,0.04500557675700498,0.009620123968659801,0.23271716880324944
126,0.0499450511585514,0.008795959459716679,0.26787827522937374
127,0.05542664520663107,0.008046480909373543,0.3072199718464483
128,0.06150985788580504,0.007364290652483044,0.34969736434141846
129,0.06826071834272393,0.006742818713035623,0.39305867678214673
130,0.0757525025877192,0.006176216432855125,0.43357468550923167
131,0.08406652885618333,0.005659265678270856,0.4662571096819607
132,0.09329304026284696,0.005187301084441874,0.48590350317266623
133,0.10353218432956637,0.004756143247651061,0.48884154400453517
134,0.11489510001873086,0.00436204114103339,0.47448547360300686
135,0.1275051240713013,0.004001622325994813,0.4456066053156283
136,0.1414991297434576,0.003671849773561828,0.40710667472145573
137,0.15702901247293774,0.0033699843078070784,0.36420583436421894
138,0.17426333860096507,0.0030935518458478713,0.32111329856976045
139,0.19338917504552322,0.0028403147425009293,0.2805588931449097
140,0.21461411978584058,0.002608246657920979,0.24394579243639983
141,0.23816855519761607,0.0023955104577979163,0.21174092289349225
142,0.2643081486974108,0.002200438731427315,0.18385436522558177
143,0.29331662783900486,0.0020215165760148275,0.15991682024500906
144,0.32550885998350565,0.0018573663481998312,0.13945257835305067
145,0.36123426997094304,0.0017067341278293238,0.12197506595812166
146,0.40088063288984643,0.0015684776759775033,0.10703328967637414
147,0.4448782831127585,0.0014415557003094883,0.09423013178162394
148,0.4937047852839004,0.001325018267127176,0.08322583636543225
149,0.5478901179593945,0.0012179982216283835,0.07373445498523047
150,0.6080224261649427,0.0011197034967287257,0.06551748577972519
151,0.67475440531107,0.0010294102067925452,0.058376869170499696
152,0.748810385759003,0.0009464564362511417,0.05214835465449283
153,0.8309941949353403,0.0008702366447319331,0.046695645287000646
154,0.9221978823334341,0.0008001966202946729,0.04190542113053292
155,1.0234114021054528,0.0007358289209314302,0.037683200879847625
156,1.135733358343105,0.0006766687518532344,0.03394994378135839
157,1.2603829296797273,0.0006222902324399172,0.030639279137123412
158,1.3987131026472386,0.0005723030122227608,0.02769525542964395
159,1.552225357427048,0.0005263492000299215,0.025070513724134897
160,1.7225859653987874,0.0004841005745594881,0.02272480471254551
161,1.9116440753857036,0.00044525604824493403,0.020623782885789775
162,2.121451784910632,0.0004095393594190114,0.018738023782586235
163,2.35428641432242,0.0003766969705293849,0.017042220778129395
164,2.612675225563332,0.000346496152567344,0.015514526519799579
165,2.8994228538828812,0.00031872323798618987,0.014136011112362736
166,3.2176417502507353,0.0002931820262480274,0.01289021476252764
167,3.5707859649004625,0.00026969232778046296,0.011762777062817656
168,3.9626886387014784,0.0002480886335769039,0.01074112864784969
169,4.397603609302721,0.00022821889896052362,0.009814233777343624
170,4.880251583654434,0.00020994343117368563,0.008972374640716542
171,5.415871378079476,0.00019313387146987931,0.00820696995943162
172,6.010276782070388,0.0001776722632897247,0.007510421881973958
173,6.669919663030129,0.00016345019890988874,0.006875986298730068
174,7.401959996915652,0.00015036803767550958,0.006297662610229763
175,8.214343584919439,0.00013833418957309493,0.00577009970937259
176,9.115888299750837,0.00012726445848066495,0.005288515523479614
177,10.11637979766207,0.00011708143995278259,0.004848627934419429
178,11.226677735108158,0.00010771396886675732,0.004446595277577277
179,12.458833642950081,9.909661267854966e-05,0.004078964931134747
180,13.826221737646593,9.116920641782146e-05,0.0037426287602743097
181,15.343684089300131,8.387642589571601e-05,0.0034347843878182014
